Research Class,DTC Code,DTC Definition,Mapping Strength,Interpretation for This Class,Common Symptoms,Likely Diagnosis / Hypothesis,Toyota Examples,Nissan Examples,Volvo Examples,0
TRANSMISSION_ISSUE,P0712,Transmission Fluid Temperature Sensor Circuit Low Input,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0713,Transmission Fluid Temperature Sensor Circuit High Input,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0714,Transmission Fluid Temperature Sensor Circuit Intermittent,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0715,Input/Turbine Speed Sensor Circuit Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0716,Input/Turbine Speed Sensor Circuit Range/Performance,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0717,Input/Turbine Speed Sensor Circuit No Signal,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0718,Input/Turbine Speed Sensor Circuit Intermittent,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0720,Output Speed Sensor Circuit Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0721,Output Speed Sensor Circuit Range/Performance,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0722,Output Speed Sensor Circuit No Signal,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0723,Output Speed Sensor Circuit Intermittent,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0729,Gear 6 Incorrect Ratio,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0730,Incorrect Gear Ratio,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0731,Gear 1 Incorrect Ratio,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0732,Gear 2 Incorrect Ratio,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0733,Gear 3 Incorrect Ratio,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0734,Gear 4 Incorrect Ratio,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0735,Gear 5 Incorrect Ratio,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0736,Reverse Incorrect Ratio,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0740,Torque Converter Clutch Circuit Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0741,Torque Converter Clutch Circuit Performance or Stuck Off,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0742,Torque Converter Clutch Circuit Stuck On,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0743,Torque Converter Clutch Circuit Electrical,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0744,Torque Converter Clutch Circuit Intermittent,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0745,Pressure Control Solenoid Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0746,Pressure Control Solenoid Performance or Stuck Off,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0747,Pressure Control Solenoid Stuck On,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0748,Pressure Control Solenoid Electrical,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0749,Pressure Control Solenoid Intermittent,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0750,Shift Solenoid A Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0751,Shift Solenoid A Performance or Stuck Off,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0752,Shift Solenoid A Stuck On,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0753,Shift Solenoid A Electrical/1-2 Shift Solenoid Circuit Electrical,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0754,Shift Solenoid A Intermittent,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0755,Shift Solenoid B Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0756,Shift Solenoid B Performance or Stuck Off,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0757,Shift Solenoid B Stuck On,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0758,Shift Solenoid B Electrical,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0759,Shift Solenoid B Intermittent,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0760,Shift Solenoid C Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0761,Shift Solenoid C Performance or Stuck Off,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0762,Shift Solenoid C Stuck On,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0763,Shift Solenoid C Electrical,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0764,Shift Solenoid C Intermittent,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0765,Shift Solenoid D Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0766,Shift Solenoid D Performance or Stuck Off,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0767,Shift Solenoid D Stuck On,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
